date,team_visitor,team_home
2024-10-22,New York,Boston
2024-10-22,Minnesota,LA Lakers
2024-10-23,Golden State,Portland
2024-10-23,Memphis,Utah
2024-10-23,Chicago,New Orleans
2024-10-23,Charlotte,Houston
2024-10-23,Phoenix,LA Clippers
2024-10-23,Milwaukee,Philadelphia
2024-10-23,Orlando,Miami
2024-10-23,Brooklyn,Atlanta
2024-10-23,Indiana,Detroit
2024-10-23,Cleveland,Toronto
2024-10-24,Boston,Washington
2024-10-24,San Antonio,Dallas
2024-10-24,Minnesota,Sacramento
2024-10-24,Oklahoma City,Denver
2024-10-25,Chicago,Milwaukee
2024-10-25,New Orleans,Portland
2024-10-25,Phoenix,LA Lakers
2024-10-25,Golden State,Utah
2024-10-25,Memphis,Houston
2024-10-25,Charlotte,Atlanta
2024-10-25,Detroit,Cleveland
2024-10-25,Philadelphia,Toronto
2024-10-25,Brooklyn,Orlando
2024-10-25,Indiana,New York
2024-10-26,LA Clippers,Denver
2024-10-26,Cleveland,Washington
2024-10-26,Boston,Detroit
2024-10-26,Miami,Charlotte
2024-10-26,Orlando,Memphis
2024-10-26,Toronto,Minnesota
2024-10-26,Oklahoma City,Chicago
2024-10-26,Houston,San Antonio
2024-10-26,Dallas,Phoenix
2024-10-26,Sacramento,LA Lakers
2024-10-27,LA Clippers,Golden State
2024-10-27,Atlanta,Oklahoma City
2024-10-27,New Orleans,Portland
2024-10-27,Philadelphia,Indiana
2024-10-27,Milwaukee,Brooklyn
2024-10-28,Utah,Dallas
2024-10-28,Indiana,Orlando
2024-10-28,Washington,Atlanta
2024-10-28,Milwaukee,Boston
2024-10-28,Denver,Toronto
2024-10-28,Detroit,Miami
2024-10-28,Cleveland,New York
2024-10-28,Houston,San Antonio
2024-10-28,Chicago,Memphis
2024-10-28,Portland,Sacramento
2024-10-28,LA Lakers,Phoenix
2024-10-29,Sacramento,Utah
2024-10-29,New Orleans,Golden State
2024-10-29,Denver,Brooklyn
2024-10-29,Dallas,Minnesota
2024-10-30,Portland,LA Clippers
2024-10-30,Brooklyn,Memphis
2024-10-30,New Orleans,Golden State
2024-10-30,San Antonio,Oklahoma City
2024-10-30,Orlando,Chicago
2024-10-30,Detroit,Philadelphia
2024-10-30,Toronto,Charlotte
2024-10-30,LA Lakers,Cleveland
2024-10-30,Boston,Indiana
2024-10-30,Atlanta,Washington
2024-10-30,New York,Miami
2024-10-31,Phoenix,LA Clippers
2024-10-31,Milwaukee,Memphis
2024-10-31,Houston,Dallas
2024-10-31,San Antonio,Utah
2024-11-01,Denver,Minnesota
2024-11-01,Indiana,New Orleans
2024-11-01,Oklahoma City,Portland
2024-11-01,LA Lakers,Toronto
2024-11-01,Orlando,Cleveland
2024-11-01,Sacramento,Atlanta
2024-11-01,New York,Detroit
2024-11-01,Chicago,Brooklyn
2024-11-01,Boston,Charlotte
2024-11-02,Oklahoma City,LA Clippers
2024-11-02,Portland,Phoenix
2024-11-02,Miami,Washington
2024-11-02,Minnesota,San Antonio
2024-11-02,Utah,Denver
2024-11-02,Golden State,Houston
2024-11-02,Sacramento,Toronto
2024-11-02,Memphis,Philadelphia
2024-11-02,Boston,Charlotte
2024-11-02,Cleveland,Milwaukee
2024-11-03,Detroit,Brooklyn
2024-11-03,Atlanta,New Orleans
2024-11-03,Orlando,Dallas
2024-11-04,Orlando,Oklahoma City
2024-11-04,San Antonio,LA Clippers
2024-11-04,Philadelphia,Phoenix
2024-11-04,Toronto,Denver
2024-11-04,Indiana,Dallas
2024-11-04,Portland,New Orleans
2024-11-04,Charlotte,Minnesota
2024-11-04,Golden State,Washington
2024-11-04,Utah,Chicago
2024-11-04,Sacramento,Miami
2024-11-04,Memphis,Brooklyn
2024-11-04,Boston,Atlanta
2024-11-04,LA Lakers,Detroit
2024-11-04,Milwaukee,Cleveland
2024-11-04,New York,Houston
2024-11-06,Chicago,Dallas
2024-11-06,Philadelphia,LA Clippers
2024-11-06,Miami,Phoenix
2024-11-06,Toronto,Sacramento
2024-11-06,Oklahoma City,Denver
2024-11-06,Cleveland,New Orleans
2024-11-06,New York,Atlanta
2024-11-06,San Antonio,Houston
2024-11-06,Golden State,Boston
2024-11-06,Orlando,Indiana
2024-11-06,Detroit,Charlotte
2024-11-06,LA Lakers,Memphis
2024-11-07,Minnesota,Chicago
2024-11-07,Utah,Milwaukee
2024-11-07,Portland,San Antonio
2024-11-08,LA Clippers,Sacramento
2024-11-08,Philadelphia,LA Lakers
2024-11-08,Portland,Minnesota
2024-11-08,Miami,Denver
2024-11-08,Houston,Oklahoma City
2024-11-08,Washington,Memphis
2024-11-08,Milwaukee,New York
2024-11-08,Golden State,Cleveland
2024-11-08,Brooklyn,Boston
2024-11-08,New Orleans,Orlando
2024-11-08,Atlanta,Detroit
2024-11-08,Indiana,Charlotte
2024-11-08,Phoenix,Dallas
2024-11-09,Utah,San Antonio
2024-11-09,Chicago,Atlanta
2024-11-09,Brooklyn,Cleveland
2024-11-09,Toronto,LA Clippers
2024-11-10,Charlotte,Philadelphia
2024-11-10,Toronto,LA Lakers
2024-11-10,Memphis,Portland
2024-11-10,Dallas,Denver
2024-11-10,Golden State,Oklahoma City
2024-11-10,Sacramento,Phoenix
2024-11-10,Washington,Orlando
2024-11-10,Houston,Detroit
2024-11-10,Boston,Milwaukee
2024-11-10,Miami,Minnesota
2024-11-10,New York,Indiana
2024-11-11,Cleveland,Chicago
2024-11-11,Washington,Houston
2024-11-11,Brooklyn,New Orleans
2024-11-11,LA Clippers,Oklahoma City
2024-11-11,Sacramento,San Antonio
2024-11-12,Minnesota,Portland
2024-11-12,Dallas,Golden State
2024-11-12,Phoenix,Utah
2024-11-12,Toronto,Milwaukee
2024-11-12,New York,Philadelphia
2024-11-12,Charlotte,Orlando
2024-11-12,Miami,Detroit
2024-11-12,Atlanta,Boston
2024-11-13,Phoenix,Sacramento
2024-11-13,Minnesota,Portland
2024-11-13,Memphis,LA Lakers
2024-11-13,Washington,San Antonio
2024-11-13,Detroit,Milwaukee
2024-11-13,Boston,Brooklyn
2024-11-13,Cleveland,Philadelphia
2024-11-13,New Orleans,Oklahoma City
2024-11-13,Chicago,New York
2024-11-13,Indiana,Orlando
2024-11-13,LA Clippers,Houston
2024-11-14,Dallas,Utah
2024-11-15,LA Clippers,Houston
2024-11-15,Minnesota,Sacramento
2024-11-15,Memphis,Golden State
2024-11-15,Phoenix,Oklahoma City
2024-11-15,Brooklyn,New York
2024-11-15,Denver,New Orleans
2024-11-15,LA Lakers,San Antonio
2024-11-15,Washington,Atlanta
2024-11-15,Detroit,Toronto
2024-11-15,Philadelphia,Orlando
2024-11-15,Miami,Indiana
2024-11-15,Chicago,Cleveland
2024-11-16,Milwaukee,Charlotte
2024-11-16,Toronto,Boston
2024-11-16,LA Lakers,New Orleans
2024-11-16,San Antonio,Dallas
2024-11-16,Utah,Sacramento
2024-11-17,Utah,LA Clippers
2024-11-17,Dallas,Oklahoma City
2024-11-17,Houston,Chicago
2024-11-17,Detroit,Washington
2024-11-17,Brooklyn,New York
2024-11-17,Denver,Memphis
2024-11-17,Charlotte,Cleveland
2024-11-17,Miami,Indiana
2024-11-17,Phoenix,Minnesota
2024-11-17,Atlanta,Portland
2024-11-18,Golden State,LA Clippers
2024-11-18,Atlanta,Sacramento
2024-11-18,Houston,Milwaukee
2024-11-18,Orlando,Phoenix
2024-11-18,Washington,New York
2024-11-18,Philadelphia,Miami
2024-11-18,Chicago,Detroit
2024-11-18,Indiana,Toronto
2024-11-19,Cleveland,Boston
2024-11-19,Charlotte,Brooklyn
2024-11-19,Denver,Memphis
2024-11-19,New Orleans,Dallas
2024-11-19,Oklahoma City,San Antonio
2024-11-19,Utah,LA Lakers
2024-11-20,Orlando,LA Clippers
2024-11-20,New York,Phoenix
2024-11-20,Atlanta,Golden State
2024-11-20,Portland,Oklahoma City
2024-11-20,Indiana,Houston
2024-11-20,Chicago,Milwaukee
2024-11-20,New Orleans,Cleveland
2024-11-20,Philadelphia,Memphis
2024-11-21,Detroit,Charlotte
2024-11-21,Minnesota,Toronto
2024-11-21,Utah,San Antonio
2024-11-21,Orlando,LA Lakers
2024-11-22,Sacramento,LA Clippers
2024-11-22,Dallas,Denver
2024-11-22,Golden State,New Orleans
2024-11-22,Portland,Houston
2024-11-22,Boston,Washington
2024-11-22,Indiana,Milwaukee
2024-11-22,Brooklyn,Philadelphia
2024-11-22,Atlanta,Chicago
2024-11-23,Golden State,San Antonio
2024-11-23,Denver,LA Lakers
2024-11-23,Charlotte,Milwaukee
2024-11-23,New York,Utah
2024-11-23,Memphis,Chicago
2024-11-23,Detroit,Orlando
2024-11-23,Portland,Houston
2024-11-24,Minnesota,Boston
2024-11-24,Washington,Indiana
2024-11-24,Dallas,Miami
2024-11-24,LA Clippers,Philadelphia
2024-11-24,Toronto,Cleveland
2024-11-24,Brooklyn,Sacramento
2024-11-25,Portland,Memphis
2024-11-25,Brooklyn,Golden State
2024-11-25,New York,Denver
2024-11-25,LA Clippers,Boston
2024-11-25,Oklahoma City,Sacramento
2024-11-25,New Orleans,Indiana
2024-11-25,Toronto,Detroit
2024-11-25,Orlando,Charlotte
2024-11-25,Dallas,Atlanta
2024-11-26,Chicago,Washington
2024-11-26,Milwaukee,Miami
2024-11-26,Houston,Minnesota
2024-11-26,San Antonio,Utah
2024-11-26,LA Lakers,Phoenix
2024-11-27,Oklahoma City,Golden State
2024-11-27,Denver,Utah
2024-11-27,LA Lakers,San Antonio
2024-11-27,Toronto,New Orleans
2024-11-27,Sacramento,Minnesota
2024-11-27,Detroit,Memphis
2024-11-27,Brooklyn,Phoenix
2024-11-27,LA Clippers,Washington
2024-11-27,Houston,Philadelphia
2024-11-27,Chicago,Orlando
2024-11-27,Portland,Indiana
2024-11-27,Atlanta,Cleveland
2024-11-27,Miami,Charlotte
2024-11-27,New York,Dallas
2024-11-29,Sacramento,Portland
2024-11-29,Oklahoma City,LA Lakers
2024-11-29,Toronto,Miami
2024-11-29,Detroit,Indiana
2024-11-29,Boston,Chicago
2024-11-29,Orlando,Brooklyn
2024-11-29,New Orleans,Memphis
2024-11-29,Cleveland,Atlanta
2024-11-29,New York,Charlotte
2024-11-29,LA Clippers,Minnesota
2024-11-30,Atlanta,Charlotte
2024-11-30,Philadelphia,Detroit
2024-11-30,Washington,Milwaukee
2024-11-30,Golden State,Phoenix
2024-11-30,Dallas,Utah
2024-12-01,LA Lakers,Utah
2024-12-01,Denver,LA Clippers
2024-12-01,San Antonio,Sacramento
2024-12-01,Oklahoma City,Houston
2024-12-01,Dallas,Portland
2024-12-01,New Orleans,New York
2024-12-01,Boston,Cleveland
2024-12-01,Miami,Toronto
2024-12-01,Indiana,Memphis
2024-12-01,Orlando,Brooklyn
2024-12-02,New Orleans,Atlanta
2024-12-02,Miami,Boston
2024-12-02,Brooklyn,Chicago
2024-12-02,LA Lakers,Minnesota
2024-12-03,Portland,LA Clippers
2024-12-03,Golden State,Denver
2024-12-03,San Antonio,Phoenix
2024-12-03,Memphis,Dallas
2024-12-03,Utah,Oklahoma City
2024-12-03,Houston,Sacramento
2024-12-03,Orlando,New York
2024-12-03,Milwaukee,Detroit
2024-12-03,Washington,Cleveland
2024-12-03,Indiana,Toronto
2024-12-03,Philadelphia,Charlotte
2024-12-04,Atlanta,Milwaukee
2024-12-04,Orlando,Philadelphia
2024-12-04,Minnesota,LA Clippers
2024-12-04,Indiana,Brooklyn
2024-12-04,Detroit,Boston
2024-12-04,LA Lakers,Miami
2024-12-05,Denver,Cleveland
2024-12-05,Dallas,Washington
2024-12-05,Charlotte,New York
2024-12-05,Oklahoma City,Toronto
2024-12-05,Sacramento,Memphis
2024-12-05,Phoenix,New Orleans
2024-12-05,Chicago,San Antonio
2024-12-05,Houston,Golden State
2024-12-06,Minnesota,Golden State
2024-12-06,Utah,Portland
2024-12-06,Sacramento,San Antonio
2024-12-06,Indiana,Chicago
2024-12-06,Milwaukee,Boston
2024-12-06,LA Lakers,Atlanta
2024-12-06,Orlando,Philadelphia
2024-12-07,Cleveland,Charlotte
2024-12-07,Oklahoma City,New Orleans
2024-12-07,Denver,Washington
2024-12-07,Detroit,New York
2024-12-07,Dallas,Toronto
2024-12-07,Memphis,Boston
2024-12-07,Phoenix,Miami
2024-12-08,Portland,LA Lakers
2024-12-08,Utah,Sacramento
2024-12-08,Houston,LA Clippers
2024-12-08,Memphis,Washington
2024-12-08,New Orleans,San Antonio
2024-12-08,Minnesota,Golden State
2024-12-08,Cleveland,Miami
2024-12-08,Denver,Atlanta
2024-12-08,Charlotte,Indiana
2024-12-08,Milwaukee,Brooklyn
2024-12-08,Philadelphia,Chicago
2024-12-08,Phoenix,Orlando
2024-12-09,New York,Toronto
2024-12-19,Denver,Portland
2024-12-19,Atlanta,San Antonio
2024-12-19,Indiana,Phoenix
2024-12-19,LA Clippers,Dallas
2024-12-19,New York,Minnesota
2024-12-19,Golden State,Memphis
2024-12-19,Chicago,Boston
2024-12-19,Brooklyn,Toronto
2024-12-19,Charlotte,Washington
2024-12-19,Oklahoma City,Orlando
2024-12-19,Utah,Detroit
2024-12-19,LA Lakers,Sacramento
2024-12-19,New Orleans,Houston
2024-12-20,Milwaukee,Cleveland
2024-12-20,Oklahoma City,Miami
2024-12-20,Charlotte,Philadelphia
2024-12-21,Portland,San Antonio
2024-12-21,Detroit,Phoenix
2024-12-21,LA Clippers,Dallas
2024-12-21,New York,New Orleans
2024-12-21,Washington,Milwaukee
2024-12-21,Golden State,Minnesota
2024-12-21,Boston,Chicago
2024-12-21,Utah,Brooklyn
2024-12-21,Memphis,Atlanta
2024-12-21,Miami,Orlando
2024-12-21,LA Lakers,Sacramento
2024-12-21,Philadelphia,Cleveland
2024-12-22,Indiana,Sacramento
2024-12-22,Houston,Toronto
2024-12-22,Denver,New Orleans
2024-12-23,Portland,Dallas
2024-12-23,Phoenix,Denver
2024-12-23,San Antonio,Philadelphia
2024-12-23,Detroit,LA Lakers
2024-12-23,Washington,Oklahoma City
2024-12-23,Indiana,Golden State
2024-12-23,LA Clippers,Memphis
2024-12-23,Utah,Cleveland
2024-12-23,Toronto,New York
2024-12-23,Brooklyn,Miami
2024-12-23,Minnesota,Atlanta
2024-12-23,Boston,Orlando
2024-12-23,Houston,Charlotte
2024-12-23,Milwaukee,Chicago
2024-12-25,Denver,Phoenix
2024-12-25,San Antonio,New York
2024-12-25,Minnesota,Dallas
2024-12-25,Philadelphia,Boston
2024-12-25,LA Lakers,Golden State
2024-12-26,Houston,New Orleans
2024-12-26,Chicago,Atlanta
2024-12-26,Detroit,Sacramento
2024-12-26,Utah,Portland
2024-12-26,Brooklyn,Milwaukee
2024-12-26,Miami,Orlando
2024-12-26,Charlotte,Washington
2024-12-26,Oklahoma City,Indiana
2024-12-26,Toronto,Memphis
2024-12-27,New York,Orlando
2024-12-27,Indiana,Boston
2024-12-27,San Antonio,Brooklyn
2024-12-27,Minnesota,Houston
2024-12-27,Memphis,New Orleans
2024-12-27,Cleveland,Denver
2024-12-27,Dallas,Phoenix
2024-12-27,Golden State,LA Clippers
2024-12-28,Sacramento,LA Lakers
2024-12-28,Dallas,Portland
2024-12-28,Philadelphia,Utah
2024-12-28,Phoenix,Golden State
2024-12-28,Detroit,Denver
2024-12-28,New York,Washington
2024-12-28,Oklahoma City,Charlotte
2024-12-28,Miami,Atlanta
2024-12-28,Milwaukee,Chicago
2024-12-29,San Antonio,Minnesota
2024-12-29,Miami,Houston
2024-12-29,Memphis,Oklahoma City
2024-12-29,Indiana,Boston
2024-12-29,Brooklyn,Orlando
2024-12-29,Atlanta,Toronto
2024-12-30,Philadelphia,Portland
2024-12-30,Chicago,Charlotte
2024-12-30,New York,Washington
2024-12-30,LA Clippers,New Orleans
2024-12-30,Denver,Utah
2024-12-30,Cleveland,Golden State
2024-12-30,Dallas,Sacramento
2024-12-31,Memphis,Phoenix
2024-12-31,Cleveland,LA Lakers
2024-12-31,Minnesota,Oklahoma City
2024-12-31,Milwaukee,Indiana
2024-12-31,Toronto,Boston
2024-12-31,LA Clippers,San Antonio
2025-01-01,Orlando,Detroit
2025-01-01,Chicago,Washington
2025-01-01,New Orleans,Miami
2025-01-01,Utah,New York
2025-01-01,Brooklyn,Toronto
2025-01-01,Dallas,Houston
2025-01-01,Atlanta,Denver
2025-01-01,Philadelphia,Sacramento
2025-01-02,Portland,LA Lakers
2025-01-02,Philadelphia,Golden State
2025-01-02,LA Clippers,Oklahoma City
2025-01-02,Indiana,Miami
2025-01-02,Boston,Minnesota
2025-01-02,Brooklyn,Milwaukee
2025-01-03,San Antonio,Denver
2025-01-03,Atlanta,LA Lakers
2025-01-03,Memphis,Sacramento
2025-01-03,Cleveland,Dallas
2025-01-03,Boston,Houston
2025-01-03,Washington,New Orleans
2025-01-03,Orlando,Toronto
2025-01-03,Charlotte,Detroit
2025-01-03,New York,Oklahoma City
2025-01-04,Philadelphia,Brooklyn
2025-01-04,Minnesota,Detroit
2025-01-04,Phoenix,Indiana
2025-01-04,New York,Chicago
2025-01-04,Utah,Miami
2025-01-04,Portland,Milwaukee
2025-01-04,Denver,San Antonio
2025-01-04,Memphis,Golden State
2025-01-04,Atlanta,LA Clippers
2025-01-05,Sacramento,Golden State
2025-01-05,New Orleans,Washington
2025-01-05,LA Lakers,Houston
2025-01-05,Utah,Orlando
2025-01-05,Charlotte,Cleveland
2025-01-05,Boston,Oklahoma City
2025-01-06,Portland,Detroit
2025-01-06,Phoenix,Philadelphia
2025-01-06,Indiana,Brooklyn
2025-01-06,Orlando,New York
2025-01-06,Milwaukee,Toronto
2025-01-06,San Antonio,Chicago
2025-01-06,Dallas,Memphis
2025-01-06,LA Clippers,Minnesota
2025-01-06,Miami,Sacramento
2025-01-07,Boston,Denver
2025-01-07,Atlanta,Utah
2025-01-07,Minnesota,New Orleans
2025-01-07,Miami,Golden State
2025-01-07,Houston,Washington
2025-01-07,Phoenix,Charlotte
2025-01-07,LA Lakers,Dallas
2025-01-08,LA Clippers,Denver
2025-01-08,Portland,New Orleans
2025-01-08,Detroit,Brooklyn
2025-01-08,San Antonio,Milwaukee
2025-01-08,Toronto,New York
2025-01-08,Chicago,Indiana
2025-01-08,Oklahoma City,Cleveland
2025-01-08,Washington,Philadelphia
2025-01-09,Toronto,Cleveland
2025-01-09,Golden State,Detroit
2025-01-09,Minnesota,Orlando
2025-01-09,Houston,Memphis
2025-01-09,Portland,Dallas
2025-01-09,Atlanta,Phoenix
2025-01-09,Miami,Utah
2025-01-09,Charlotte,LA Lakers
2025-01-10,Brooklyn,Denver
2025-01-10,Washington,Chicago
2025-01-10,Oklahoma City,New York
2025-01-10,New Orleans,Philadelphia
2025-01-10,Milwaukee,Orlando
2025-01-10,Sacramento,Boston
2025-01-10,Golden State,Indiana
2025-01-11,Houston,Atlanta
2025-01-11,Utah,Phoenix
2025-01-11,Toronto,Detroit
2025-01-11,Memphis,Minnesota
2025-01-11,Miami,Portland
2025-01-11,Charlotte,LA Clippers
2025-01-11,San Antonio,LA Lakers
2025-01-12,Charlotte,Phoenix
2025-01-12,Brooklyn,Utah
2025-01-12,Oklahoma City,Washington
2025-01-12,Philadelphia,Orlando
2025-01-12,Milwaukee,New York
2025-01-12,New Orleans,Boston
2025-01-12,Sacramento,Chicago
2025-01-12,Denver,Dallas
2025-01-12,Indiana,Cleveland
2025-01-13,Miami,LA Clippers
2025-01-13,San Antonio,LA Lakers
2025-01-13,Memphis,Houston
2025-01-13,Minnesota,Washington
2025-01-13,Detroit,New York
2025-01-13,Golden State,Toronto
2025-01-14,Cleveland,Indiana
2025-01-14,Oklahoma City,Philadelphia
2025-01-14,Phoenix,Atlanta
2025-01-14,New Orleans,Chicago
2025-01-14,Sacramento,Milwaukee
2025-01-14,Denver,Dallas
2025-01-14,Brooklyn,Portland
2025-01-15,Memphis,San Antonio
2025-01-15,Miami,LA Lakers
2025-01-15,Charlotte,Utah
2025-01-15,Houston,Denver
2025-01-15,Brooklyn,LA Clippers
2025-01-15,Golden State,Minnesota
2025-01-15,Orlando,Milwaukee
2025-01-15,Atlanta,Chicago
2025-01-15,Boston,Toronto
2025-01-15,New York,Philadelphia
2025-01-15,Dallas,New Orleans
2025-01-16,Indiana,Detroit
2025-01-16,Phoenix,Washington
2025-01-16,Cleveland,Oklahoma City
2025-01-16,LA Clippers,Portland
2025-01-16,Houston,Sacramento
2025-01-17,Brooklyn,LA Lakers
2025-01-17,Oklahoma City,Dallas
2025-01-17,Memphis,San Antonio
2025-01-17,Utah,New Orleans
2025-01-17,Charlotte,Chicago
2025-01-17,Denver,Miami
2025-01-17,Minnesota,New York
2025-01-17,Orlando,Boston
2025-01-17,Toronto,Milwaukee
2025-01-18,Cleveland,Minnesota
2025-01-18,Washington,Golden State
2025-01-18,Houston,Portland
2025-01-18,Atlanta,Boston
2025-01-18,Phoenix,Detroit
2025-01-18,Philadelphia,Indiana
2025-01-19,San Antonio,Miami
2025-01-19,Denver,Orlando
2025-01-19,Philadelphia,Milwaukee
2025-01-19,Brooklyn,Oklahoma City
2025-01-19,LA Lakers,LA Clippers
2025-01-19,Chicago,Portland
2025-01-19,Washington,Sacramento
2025-01-20,Boston,Golden State
